topic,channel_link,channel_status
filmmaking,https://www.youtube.com/user/Neumannfilms,0
filmmaking,https://www.youtube.com/channel/UCuPgdqQKpq4T4zeqmTelnFg,0
filmmaking,https://www.youtube.com/channel/UCimXfJSXtt0w3LLtMclOzHA,0
filmmaking,https://www.youtube.com/user/pawalbeck,0
filmmaking,https://www.youtube.com/channel/UCknMR7NOY6ZKcVbyzOxQPhw,0
filmmaking,https://www.youtube.com/c/Crimsonengine/videos,0
filmmaking,https://www.youtube.com/channel/UCUFoQUaVRt3MVFxqwPUMLCQ,0
filmmaking,https://www.youtube.com/channel/UCKyVN7fBTaQ3np4WOO7IK9A,0
filmmaking,https://www.youtube.com/c/dslrvideoshooter,0
filmmaking,https://www.youtube.com/channel/UC7gBcKzHKc0oOR5-XiWdlFQ,0
filmmaking,https://www.youtube.com/user/jamesmatthews1993,0
filmmaking,https://www.youtube.com/user/GubeStuff,0
filmmaking,https://www.youtube.com/user/fastscreenplay,0
filmmaking,https://www.youtube.com/user/D4Darious,0
filmmaking,https://www.youtube.com/user/HurlbutVisualsLA,0
filmmaking,https://www.youtube.com/user/YapperDesign,0
filmmaking,https://www.youtube.com/user/wgadotorg,0
filmmaking,https://www.youtube.com/channel/UC-He-TI37gYyrrSy7BWvh1Q,0
filmmaking,https://www.youtube.com/channel/UC9tnwOsaA7T29VuUCuXvr7g,0
filmmaking,https://www.youtube.com/user/premiumbeat,0
filmmaking,https://www.youtube.com/channel/UCErSSa3CaP_GJxmFpdjG9Jw,0
filmmaking,https://www.youtube.com/channel/UCulLTNc5UdWKBcCqo8GNMbQ,0
filmmaking,https://www.youtube.com/channel/UCYUZsOjOo6SW9SPdAuI7EjQ,0
filmmaking,https://www.youtube.com/user/thevfxbro,0
filmmaking,https://www.youtube.com/channel/UC-Ya9gBlwOhRwtloTn1hvbA/about,0
filmmaking,https://www.youtube.com/channel/UC6xliqRXcbqk6vU_GxaITQQ,0
filmmaking,https://www.youtube.com/c/BusinessFilmBoothOnline/videos,0
filmmaking,https://www.youtube.com/c/PotatoJet,0
filmmaking,https://www.youtube.com/channel/UCbvIIQc5Jo9-jIXnkPe03oA,0
filmmaking,https://www.youtube.com/user/CinemarkOfficial,0
filmmaking,https://www.youtube.com/channel/UC7Q3kTW31Zey79mrYaB6Pug,0
filmmaking,https://www.youtube.com/channel/UCjFqcJQXGZ6T6sxyFB-5i6A,0
filmmaking,https://www.youtube.com/user/drumat5280,0
filmmaking,https://www.youtube.com/user/YCImaging,0
filmmaking,https://www.youtube.com/user/cinematographydb,0
filmmaking,https://www.youtube.com/channel/UCWWq67D7TofEPq_eBiaYCWw,0
filmmaking,https://www.youtube.com/user/TheSlantedLens,0
filmmaking,https://www.youtube.com/user/svenpape,0
filmmaking,https://www.youtube.com/user/rocketstock,0
filmmaking,https://www.youtube.com/channel/UCGZ0LgTmAJn9Banetdr_ZFg,0
filmmaking,https://www.youtube.com/c/FilmmakerIQ,0
filmmaking,https://www.youtube.com/user/videocopilot,0
filmmaking,https://www.youtube.com/user/philipbloom/videos,0
filmmaking,https://www.youtube.com/channel/UCWyclloMwhnxRimbXEOLe2Q,0
filmmaking,https://www.youtube.com/channel/UCeO18n9AxKQS0BQfL6AamQw,0
filmmaking,https://www.youtube.com/channel/UCIXKkzlHjD1rUPOLRfJZvrg,0
filmmaking,https://www.youtube.com/channel/UCz1QsQ8muaV49t_7SqR4CLw,0
filmmaking,https://www.youtube.com/user/FilmmakerIQcom,0
filmmaking,https://www.youtube.com/channel/UCp11sn-DcMSHl8KE1cqwn6w,0
filmmaking,https://www.youtube.com/channel/UCiV2Mb8werF80JqwBuZwqhg,0
filmmaking,https://www.youtube.com/user/philipbloom,0
filmmaking,https://www.youtube.com/channel/UCdTCujcLOEJe4ujH-NL6oUg,0
filmmaking,https://www.youtube.com/channel/UCWTFGPpNQ0Ms6afXhaWDiRw,0
filmmaking,https://www.youtube.com/user/dslrvideoshooter,0
filmmaking,https://www.youtube.com/user/indymogul,0
filmmaking,https://www.youtube.com/user/Wondershare,0
filmmaking,https://www.youtube.com/user/filmriot/,0
filmmaking,https://www.youtube.com/c/THATICELANDICGUY/videos,0
filmmaking,https://www.youtube.com/c/BrandonLiUnscripted,0
filmmaking,https://www.youtube.com/user/ZachRamelan,0
